Author,Title,Genre,Pub_Year,Connective_Title,Connective_Author,Read,Own,Connective_year,year
"Gay, Ross",The Book of (More) Delights,Essays,2023,No Country for Eight-Spot Butterflies: A Lyric Essay,"Aguon, Julian",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"A Pattern Language: Towns, Buildings, Construvtion","Alexander, Christopher, et. al",0.0,0.0,,1977.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,My Pinup,"Als, Hilton",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Animal Joy: A Book of Laughter and Resuscitation,"Alsadir, Nuar",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Modernism in the Streets: A Life and Times in Essays,"Berman, Marshall",0.0,0.0,,2013.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Why I Am Not Going to buy a Computer,"Berry, Wendell",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Body: An Essay,"Boully, Jenny",0.0,0.0,,2007.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Crying Book,"Christle, Heather",0.0,1.0,,2019.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Book of Light,"Clifton, Lucille",1.0,0.0,,1992.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Bluest Nude: Poems,"Codjoe, Ama",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Essays One,"Davis, Lydia",0.0,0.0,,2019.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"Of Solids and Surds: Notes for Noël Sturgeon, Marilyn Hacker, Josh Lukin, Mia Wolff, Bill Stribling and Bob White","Delaney, Samuel",0.0,0.0,,2021.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Brief Wonderous Life of Oscar Wao,"Díaz, Junot",0.0,0.0,,2007.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Suppose a Sentence,"Dillon, Brian",0.0,0.0,,2020.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,W.E.B. Du Bois's Data Portraits: Visualizing Black America,"Du Bois, W.E.B.",0.0,1.0,,1900.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Black Reconstruction,"Du Bois, W.E.B.",0.0,0.0,,1935.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Last Days of Roger Federer: ANd Other Essays,"Dyer, Geoff",1.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,See/Saw: Looking at Photographs,"Dyer, Geoff",0.0,1.0,,2021.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Black Agenda,"Ford, Glen",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Book of Embraces,"Galeano, Eduardo",1.0,0.0,,1992.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Memory of Fire Trilogy,"Galeano, Eduardo",0.0,0.0,,1985.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Open Veins of Latin America: Five Centuries of the Pillage of a Continent,"Galeano, Eduardo",0.0,0.0,,1971.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Soccer in Sun and Shadow,"Galeano, Eduardo",0.0,0.0,,1940.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Growing Up Absurd,"Goodman, Paul",0.0,0.0,,1960.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"Taking a Long Look: Essays on Culture, Literature, and Feminism in Our Time","Gornick, Vivian",0.0,0.0,,2021.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Bullshit Jobs: A Theory,"Graeber, David",0.0,0.0,,2018.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"On Broswing (Field Notes, 5)","Guriel, Jason",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Unwritten Book: An Investigation,"Hunt, Samantha",0.0,0.0,,2023.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Gift,"Hyde, Lewis",1.0,0.0,,1983.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Prejudential: Black Ameirca and the Presdients,"Kimberle, Margaret",0.0,0.0,,2020.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knoweldge","Kimmerer, Robin Wall",0.0,1.0,,2013.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Two Lives: Gertude and Alice,"Malcolm, Janet",0.0,0.0,,2008.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Dear Science and Other Stories,"McKittrick, Katherine",0.0,0.0,,2021.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Origin of Others,"Morrison, Toni",0.0,1.0,,2017.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"World of Wonders: In Praise of Fireflies, Whale Sharks, and other Astonishments","Nezhukumatathil, Aimee",0.0,0.0,,2024.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,Green Age,"Ostriker, Alicia",0.0,0.0,,1989.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,"Come Back in September: A Literary Education on West Sixty-Seventh Street, Manhattan","Pinckney, Daryl",0.0,0.0,,2023.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The South: Jim Crow and its Afterlives,"Reed, Adolph L., Jr.",0.0,0.0,,2022.0
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Last Thing: New & Selected Poems,"Rosal, Patrick",0.0,0.0,,2017.0
