Author,Title,Genre,Pub_Year,Connective_Title,Connective_Author,Read,Own,Connective_Year
"Gay, Ross",The Book of (More) Delights,Essays,2023,No Country for Eight-Spot Butterflies: A Lyric Essay,"Aguon, Julian",0.0,0.0,2022
"Gay, Ross",The Book of (More) Delights,Essays,2023,"A Pattern Language: Towns, Buildings, Construvtion","Alexander, Christopher, et. al",0.0,0.0,
"Gay, Ross",The Book of (More) Delights,Essays,2023,My Pinup,"Als, Hilton",0.0,0.0,2022
"Gay, Ross",The Book of (More) Delights,Essays,2023,Animal Joy: A Book of Laughter and Resuscitation,"Alsadir, Nuar",0.0,0.0,2022
"Gay, Ross",The Book of (More) Delights,Essays,2023,Modernism in the Streets: A Life and Times in Essays,"Berman, Marshall",0.0,0.0,2017
"Gay, Ross",The Book of (More) Delights,Essays,2023,Why I Am Not Going to buy a Computer,"Berry, Wendell",0.0,0.0,2021
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Body: An Essay,"Boully, Jenny",0.0,0.0,2002
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Crying Book,"Christle, Heather",0.0,1.0,2019
"Gay, Ross",The Book of (More) Delights,Essays,2023,The Book of Light,"Clifton, Lucille",1.0,0.0,2023
"Gay, Ross",The Book of (More) Delights,Essays,2023,Bluest Nude: Poems,"Codjoe, Ama",0.0,0.0,2022
