Date,Match_ID,Team,Aggregate,Half,Minute,Duration,Notes
7/14/2024,45,Spain,1,2,47,,
7/14/2024,45,England,2,2,73,,
7/14/2024,45,Spain,3,2,86,,
7/10/2024,44,Netherlands,1,1,7,,
7/10/2024,44,England,2,1,18,,Penalty
7/10/2024,44,England,3,2,90,,
7/9/2024,43,France,1,1,9,,
7/9/2024,43,Spain,2,1,21,,
7/9/2024,43,Spain,3,1,25,,
7/6/2024,42,Switzerland,1,2,75,,
7/6/2024,42,England,2,2,80,,
7/6/2024,41,Turkey,1,1,35,,
7/6/2024,41,Netherlands,2,2,70,,
7/6/2024,41,Netherlands,3,2,76,,Own_Goal
7/5/2024,40,Spain,1,2,51,,
7/5/2024,40,Germany,2,2,89,,
7/5/2024,40,Spain,3,3,119,,
7/2/2024,39,Netherlands,1,1,20,,
7/2/2024,39,Netherlands,2,2,83,,
7/2/2024,39,Netherlands,3,2,93,,Stoppage_FT
7/2/2024,38,Turkey,1,1,1,,
7/2/2024,38,Turkey,2,2,59,,
7/2/2024,38,Austria,3,2,66,,
7/1/2024,37,France,1,2,85,,
6/30/2024,36,Slovakia,1,1,25,,
6/30/2024,36,England,2,2,95,,Stoppage_FT
6/30/2024,36,England,3,3,96,,
6/30/2024,35,Georgia,1,1,18,,Own_Goal
6/30/2024,35,Spain,2,1,39,,
6/30/2024,35,Spain,3,2,51,,
6/30/2024,35,Spain,4,2,75,,
6/30/2024,35,Spain,5,2,83,,
6/29/2024,34,Switzerland,1,1,37,,
6/29/2024,34,Switzerland,2,2,46,,
6/29/2024,33,Germany,1,2,53,,Penalty
6/29/2024,33,Germany,2,2,68,,
6/26/2024,32,Slovakia,1,1,24,,
6/26/2024,32,Romania,2,1,37,,Penalty
6/26/2024,31,Turkey,1,2,51,,
6/26/2024,31,Czechia,2,2,66,,
6/26/2024,31,Turkey,3,2,94,,Stoppage_FT
6/26/2024,30,Georgia,1,1,2,,
6/26/2024,30,Georgia,2,2,57,,Penalty
6/25/2024,29,France,1,2,56,,Penalty
6/25/2024,29,Poland,2,2,79,,Penalty
6/25/2024,28,Austria,1,1,6,,Own_Goal
6/25/2024,28,Netherlands,2,2,47,,
6/25/2024,28,Austria,3,2,59,,
6/25/2024,28,Netherlands,4,2,75,,
6/25/2024,28,Austria,5,2,80,,
6/24/2024,27,Spain,1,1,13,,
6/24/2024,26,Croatia,1,2,55,,
6/24/2024,26,Italy,2,2,98,,Stoppage_FT
6/23/2024,25,Switzerland,1,1,28,,
6/23/2024,25,Germany,2,2,92,,Stoppage_FT
6/23/2024,24,Hungary,1,2,100,,Stoppage_FT
6/22/2024,23,Georgia,1,1,49,,Stoppage_HT
6/22/2024,23,Czechia,2,2,59,,
6/22/2024,22,Portugal,1,1,21,,
6/22/2024,22,Portugal,2,1,28,,Own_Goal
6/22/2024,22,Portugal,3,2,56,,
6/22/2024,21,Belguim,1,1,2,,
6/22/2024,21,Belguim,2,2,80,,
6/21/2024,20,Slovakia,1,1,17,,
6/21/2024,20,Ukraine,2,2,54,,
6/21/2024,20,Ukraine,3,2,80,,
6/21/2024,19,Austria,1,1,9,,
6/21/2024,19,Poland,2,1,30,,
6/21/2024,19,Austria,3,2,66,,
6/21/2024,19,Austria,4,2,78,,Penalty
6/20/2024,18,Slovenia,1,2,69,,
6/20/2024,18,Serbia,2,2,95,,Stoppage_FT
6/20/2024,17,England,1,1,18,,
6/20/2024,17,Denmark,2,1,34,,
6/20/2024,16,Spain,1,2,55,,Own_Goal
6/19/2024,15,Albania,1,1,11,,
6/19/2024,15,Croatia,2,2,74,,
6/19/2024,15,Croatia,3,2,76,,Own_Goal
6/19/2024,15,Albania,4,2,95,,Stoppage_FT
6/19/2024,14,Germany,1,1,22,,
6/19/2024,14,Germany,2,2,67,,
6/19/2024,13,Scotland,1,1,13,,
6/19/2024,13,Switzerland,2,1,26,,
6/18/2024,12,Turkey,1,1,25,,
6/18/2024,12,Georgia,2,1,32,,
6/18/2024,12,Turkey,3,2,65,,
6/18/2024,12,Turkey,4,2,97,,Stoppage_FT
6/18/2024,11,Czechia,1,2,62,,
6/18/2024,11,Portugal,2,2,69,,Own_Goal
6/18/2024,11,Portugal,3,2,92,,Stoppage_FT
6/17/2024,10,Romania,1,1,29,,
6/17/2024,10,Romania,2,2,53,,
6/17/2024,10,Romania,3,2,57,,
6/17/2024,9,Slovakia,1,1,7,,
6/17/2024,8,France,1,1,38,,Own_Goal
6/16/2024,7,Poland,1,1,16,,
6/16/2024,7,Netherlands,2,1,29,,
6/16/2024,7,Netherlands,3,2,83,,
6/16/2024,6,Denmark,1,1,17,,
6/16/2024,6,Slovenia,2,2,77,,
6/16/2024,5,England,1,1,13,,
6/15/2024,4,Switzerland,1,1,12,,
6/15/2024,4,Switzerland,2,1,45,,
6/15/2024,4,Hungary,3,2,66,,
6/15/2024,4,Switzerland,4,2,93,,Stoppage_FT
6/15/2024,3,Spain,1,1,29,,
6/15/2024,3,Spain,2,1,32,,
6/15/2024,3,Spain,3,1,47,,Stoppage_HT
6/15/2024,2,Albania,1,1,1,,
6/15/2024,2,Italy,2,1,11,,
6/15/2024,2,Italy,3,1,16,,
6/14/2024,1,Germany,1,1,10,,
6/14/2024,1,Germany,2,1,19,,
6/14/2024,1,Germany,3,1,46,,"Penalty, Stoppage_HT"
6/14/2024,1,Germany,4,2,68,,
6/14/2024,1,Scotland,5,2,87,,Own_Goal
6/14/2024,1,Germany,6,2,93,,Stoppage_FT
