Match,Date,Location
1,2024-7-25,Lyon
2,2024-7-25,Saint-Etienne
3,2024-7-25,Nice
4,2024-7-25,Marseille
5,2024-7-25,Nantes
6,2024-7-25,Bordeaux
7,2024-7-28,Saint-Etienne
8,2024-7-28,Lyon
9,2024-7-28,Marseille
10,2024-7-28,Nice
11,2024-7-28,Nantes
12,2024-7-28,Paris
13,2024-7-31,Lyon
14,2024-7-31,Nice
15,2024-7-31,Marseille
16,2024-7-31,Saint-Etienne
17,2024-7-31,Bordeaux
18,2024-7-31,Nantes
19,2024-8-3,Nantes
20,2024-8-3,Paris
21,2024-8-3,Lyon
22,2024-8-3,Marseille
23,2024-8-6,Marseille
24,2024-8-6,Lyon
