Match,Country,Goal,Minute,Half,Status,Notes
1,France,1,6,1,W,
1,France,2,18,1,W,
1,France,3,42,1,W,
1,Columbia,4,54,2,W,P
1,Columbia,5,64,2,W,
2,New_Zeland,1,13,1,W,
2,Canada,2,49,1,T,
2,Canada,3,79,2,W,FHST
3,USA,1,17,1,W,
3,USA,2,24,1,W,
3,USA,3,25,1,W,
4,Germany,1,24,1,W,
4,Germany,2,64,2,W,
4,Germany,3,68,2,W,
5,Japan,1,13,1,W,
5,Spain,2,22,1,T,
5,Spain,3,74,2,W,
6,Brazil,1,37,1,W,
7,France,1,42,1,W,
7,Canada,2,58,2,T,
7,Canada,3,102,2,W,SHST
8,Columbia,1,27,1,W,
8,Columbia,2,72,1,W,
9,USA,1,10,1,W,
9,Germany,2,22,1,T,
9,USA,3,26,1,W,
9,USA,4,44,1,W,
9,USA,5,89,2,W,
10,Zambia,1,1,1,W,
10,Australia,2,7,1,T,
10,Zambia,3,21,1,W,
10,Zambia,4,33,1,W,
10,Australia,5,35,1,L,
10,Zambia,6,47,1,W,FHST
10,Zambia,7,56,2,W,
10,Australia,8,58,2,L,OG
10,Australia,9,65,2,L,
10,Australia,10,78,2,T,P
10,Australia,11,90,2,W,
11,Spain,1,85,2,W,
12,Brazil,1,56,2,W,
12,Japan,2,92,2,T,SHST
12,Japan,3,96,2,W,"P, SHST"
13,France,1,22,1,W,
13,New_Zeland,2,43,1,T,
13,France,3,49,2,W,
14,Canada,1,61,2,W,
15,USA,1,43,1,W,
15,USA,2,77,2,W,
15,Australia,3,91,2,L,SHST
16,Germany,1,10,1,W,
16,Germany,2,47,2,W,
16,Zambia,3,49,2,L,
16,Germany,4,61,2,W,
16,Germany,5,97,2,W,SHST
17,Spain,1,68,2,W,
17,Spain,2,107,2,W,SHST
18,Japan,1,22,1,W,
18,Japan,2,32,1,W,
18,Nigeria,3,42,1,L,
18,Japan,4,50,1,W,FHST
19,Brazil,1,82,2,W,
20,USA,1,107,3,W,ET1ST
21,Columbia,1,12,1,W,
21,Columbia,2,52,2,W,
21,Spain,3,79,2,L,
21,Spain,4,97,2,T,SHST
22,,0,,,,No_Goals
23,Brazil,1,6,1,W,OG
23,Brazil,2,49,1,W,FHST
23,Brazil,3,71,2,W,
23,Spain,4,85,2,L,OG
23,Brazil,5,91,2,W,SHST
23,Spain,6,102,2,L,SHST
24,USA,1,95,3,W,ET1
