Match,Country,Total_Goal,Result
1,France,3,W
1,Columbia,2,L
2,Canada,2,W
2,New_Zealand,1,L
3,USA,3,W
3,Zambia,0,L
4,Germany,3,W
4,Australia,0,L
5,Spain,2,W
5,Japan,1,L
6,Nigeria,0,L
6,Brazil,1,W
7,France,1,L
7,Canada,2,W
8,New_Zealand,0,L
8,Columbia,2,W
9,USA,4,W
9,Germany,1,L
10,Australia,6,W
10,Zambia,5,L
11,Spain,1,W
11,Nigeria,0,L
12,Brazil,1,L
12,Japan,2,W
13,New_Zealand,1,L
13,France,2,W
14,Columbia,0,L
14,Canada,1,W
15,Australia,1,L
15,USA,2,W
16,Zambia,1,L
16,Germany,4,W
17,Brazil,0,L
17,Spain,2,W
18,Japan,3,W
18,Nigeria,1,L
19,France,0,L
19,Brazil,1,W
20,USA,1,W
20,Japan,0,L
21,Spain,2,W
21,Columbia,2,L
22,Canada,0,L
22,Germany,0,W
23,Brazil,4,W
23,Spain,2,L
24,USA,1,W
24,Germany,0,L
